Service Name,Street,Suburb,Postcode,State,LGA
Jubilee Park Child Care and Kindergarten,20 Reservoir Road,FRANKSTON,3199,VIC,FRANKSTON CITY
Jumping Jacks Early Learning Centre & Kindergarten,132 Collins Street,MENTONE,3194,VIC,KINGSTON CITY
K 4 Kidz Child Care,412 Lawrence Street,WODONGA,3690,VIC,WODONGA RURAL CITY
K.P. Kindergarten - Dole Ave Campus,2 Dole Avenue,KEON PARK,3073,VIC,DAREBIN CITY
Kalbarri Kindergarten,11 Mitchell Crescent,PORTLAND,3305,VIC,GLENELG SHIRE
Kalker Montessori Centre,1-3 Estelle Street,BULLEEN,3105,VIC,MANNINGHAM CITY
Kallista Kindergarten, Tom Roberts Road,KALLISTA,3791,VIC,YARRA RANGES SHIRE
Kananook Preschool,6 Buna Avenue,SEAFORD,3198,VIC,FRANKSTON CITY
Kangan Institute Children's Centre, Pearcedale Parade,BROADMEADOWS,3047,VIC,HUME CITY
Kangaroo Flat Preschool,1 Carpenter Street,KANGAROO FLAT,3555,VIC,GREATER BENDIGO CITY
Kangaroo Ground Preschool Inc,20 Graham Road,KANGAROO GROUND,3097,VIC,NILLUMBIK SHIRE
Kaniva Kindergarten,23 Baker Street,KANIVA,3419,VIC,WEST WIMMERA SHIRE
Kanooka Child Care Centre,29-31 Kanooka Grove,CLAYTON,3168,VIC,MONASH CITY
Kardinia International College Kindergarten,29-31 Kardinia Drive,BELL POST HILL,3215,VIC,GREATER GEELONG CITY
Kardinia Kids Early Learning & Care,5-31 Anakie Road,BELL POST HILL,3215,VIC,GREATER GEELONG CITY
Karingal East Kindergarten,12 Havana Crescent,FRANKSTON,3199,VIC,FRANKSTON CITY
Karingal PLACE Kindergarten,103 Ashleigh Avenue,FRANKSTON,3199,VIC,FRANKSTON CITY
Karobran Kindergarten,64 Spring Drive,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Katamatite and District Multipurpose Children's Centre,7 Brahe Street,KATAMATITE,3649,VIC,MOIRA SHIRE
Katandra West Early Childhood Centre, Bankin Street,KATANDRA WEST,3634,VIC,GREATER SHEPPARTON CITY
Kath Foley Childrens Centre & Kindergarten Inc,203 Dawson Street,SALE,3850,VIC,WELLINGTON SHIRE
Kathleen Kelly Kindergarten,45 Lemon Avenue,MILDURA,3500,VIC,MILDURA RURAL CITY
Kathleen Millikan Centre,1 Jackson Street,CASTERTON,3311,VIC,GLENELG SHIRE
Katrina Preschool,69 Katrina Street,BLACKBURN NORTH,3130,VIC,WHITEHORSE CITY
Kay Street Kindergarten,61 Kay Street,TRARALGON,3844,VIC,LATROBE CITY
Kealba Kindergarten,24 McShane Drive,KEALBA,3021,VIC,BRIMBANK CITY
Keilor Downs Kindergarten, Antwerp Drive,KEILOR DOWNS,3038,VIC,BRIMBANK CITY
Keilor East Kindergarten,31 Mark Street,KEILOR EAST,3033,VIC,MOONEE VALLEY CITY
Keilor Gatehouse, Paramatta Road,KEILOR,3036,VIC,BRIMBANK CITY
Keilor Park Preschool, Thea Court,KEILOR PARK,3042,VIC,BRIMBANK CITY
Keilor Village Preschool, Cnr Kennedy St & Old Calder Hwy,KEILOR,3036,VIC,BRIMBANK CITY
Kellbourne Heights Kindergarten & Child Care Centre,197-199 Murrindal Drive,ROWVILLE,3178,VIC,KNOX CITY
Kellie O'Connell Kindergarten,125 Ridgeway Parade,ARDEER,3022,VIC,BRIMBANK CITY
Kennington Preschool,17 Crook Street,BENDIGO,3550,VIC,GREATER BENDIGO CITY
Kensington Community Childrens Centre,81B Altona Street,KENSINGTON,3031,VIC,MELBOURNE CITY
Kent Road Uniting Church Preschool, Kent Road,PASCOE VALE,3044,VIC,MORELAND CITY
Keon Park Kindergarten,75 Arundel Avenue,KEON PARK,3073,VIC,DAREBIN CITY
Kew Kids Early Learning Centre,8-12  Woodlands Avenue,KEW EAST,3102,VIC,BOROONDARA CITY
Keysborough Community Children's Centre,364 Cheltenham Road,KEYSBOROUGH,3173,VIC,GREATER DANDENONG CITY
Kialla Children's Centre, Reserve Street,KIALLA,3631,VIC,GREATER SHEPPARTON CITY
Kiddie Kare,122 Graham Street,SHEPPARTON,3630,VIC,GREATER SHEPPARTON CITY
Kidding Around Childcare and Kindergarten,36-38 Grimwade Crescent,FRANKSTON,3199,VIC,FRANKSTON CITY
Kiddy Palace Learning Centre,134-136 McDonalds Road,EPPING,3076,VIC,WHITTLESEA CITY
Kiddy Palace Learning Centre,2 Schotters Road,MERNDA,3754,VIC,WHITTLESEA CITY
Kids by the Bay Children's Centre,70 Hanmer Street,WILLIAMSTOWN,3016,VIC,HOBSONS BAY CITY
Kids Choice Ann Street,21 Ann Street,MOOROOPNA,3629,VIC,GREATER SHEPPARTON CITY
Kids Club Torquay, Attunga Drive,TORQUAY,3228,VIC,SURF COAST SHIRE
Kids Company - Beaumaris,206 Tramway Parade,BEAUMARIS,3193,VIC,BAYSIDE CITY
Kids Company - Cheltenham,1a Bernard Street,CHELTENHAM,3192,VIC,KINGSTON CITY
Kids Company - Sandringham,139 Bay Road,SANDRINGHAM,3191,VIC,BAYSIDE CITY
Kids on Campus,15 McKoy Street,WODONGA,3690,VIC,WODONGA RURAL CITY
Kids on Collins,600 Collins Street,MELBOURNE,3000,VIC,MELBOURNE CITY
Kids on Gallaghers Child Care Centre,254 Gallaghers Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Kids on Queens Parade Childcare Centre,476 Queens Parade,FITZROY NORTH,3068,VIC,YARRA CITY
Kids on the Avenue Children's Centre,32 The Avenue,MORELAND,3058,VIC,MORELAND CITY
Kids on the Rise,11 - 17 Frankie Way,POINT COOK,3030,VIC,WYNDHAM CITY
Kids on Tulip, 111 Tulip Street,SANDRINGHAM,3191,VIC,BAYSIDE CITY
Kids Paradise Childcare Pty Ltd,2-6 Fulmar Street,CARRUM DOWNS,3201,VIC,FRANKSTON CITY
Kids Paradise Long Street,1  Long Street,LANGWARRIN,3910,VIC,FRANKSTON CITY
Kids Resort Early Learning Centre,88 Greg Norman Drive,SANCTUARY LAKES,3030,VIC,WYNDHAM CITY
Kids Retreat,890 Old Calder Highway,KEILOR,3036,VIC,BRIMBANK CITY
Kids Time Early Learning Centre,236 East Boundary Road,BENTLEIGH EAST,3165,VIC,GLEN EIRA CITY
Kids Time Early Learning Centre,488 South Road,MOORABBIN,3189,VIC,KINGSTON CITY
Kids World Child Care Centre,14-16 Walls Road,WERRIBEE,3030,VIC,WYNDHAM CITY
Kidz R Kidz Early Learning Centre,30 Stirling Avenue,CRANBOURNE,3977,VIC,CASEY CITY
Kidzplay on Highbury,514 Highbury Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Killeen Street Child Care Centre,23 Killeen Street,SUNSHINE,3020,VIC,BRIMBANK CITY
Kilmore Child Care Centre,22 White Street,KILMORE,3764,VIC,MITCHELL SHIRE
Kilmore Family Centre,4 White St,KILMORE,3764,VIC,MITCHELL SHIRE
Kilsyth Kids Educare Centre,26 Liverpool Road,KILSYTH,3137,VIC,YARRA RANGES SHIRE
Kilvington Early Learning,2 Leila Rd,ORMOND,3163,VIC,GLEN EIRA CITY
Kimmba Bilingual Early Learning Centre,2 Balston Street,ST KILDA,3182,VIC,PORT PHILLIP CITY
Kindaland Childcare,51 Gladstone Parade,GLENROY,3046,VIC,MORELAND CITY
Kinderclub,35 Crimea Street,ST KILDA,3182,VIC,PORT PHILLIP CITY
King David School Holdings Ltd,117 Kooyong Road,ARMADALE,3143,VIC,STONNINGTON CITY
KingKids Early Learning Centre & Kindergarten,61-67 Golf Links Road,BERWICK,3806,VIC,CASEY CITY
Kinglake Ranges Children's Centre,69 Exton's Rd,KINGLAKE CENTRAL,3757,VIC,MURRINDINDI SHIRE
Kings College Preschool,44 Balmoral Road,WARRNAMBOOL,3280,VIC,WARRNAMBOOL CITY
Kings Park Kindergarten,24 Maplewood Road,KINGS PARK,3021,VIC,BRIMBANK CITY
Kingston Kids Preschool & Child Care Centre,62-64 Warren Road,MORDIALLOC,3195,VIC,KINGSTON CITY
Kingsville Kindergarten,35 A Roberts Street,WEST FOOTSCRAY,3012,VIC,MARIBYRNONG CITY
Kingsway Preschool,1 Kingsway,MELTON,3337,VIC,MELTON SHIRE
Kingswood College Early Learning Centre,355 Station Street,BOX HILL,3128,VIC,WHITEHORSE CITY
Kirralee Kindergarten,53 Richard Street,NEWCOMB,3219,VIC,GREATER GEELONG CITY
Knaith Road Child Care Centre, Knaith Road,RINGWOOD EAST,3135,VIC,MAROONDAH CITY
Knight Street Preschool & Child Care Centre,164 Knight Street,SHEPPARTON,3630,VIC,GREATER SHEPPARTON CITY
Knox Childcare and Kindergarten,17 Old Orchard Drive,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Knox Gardens Kindergarten,81 Argyle Way,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Knoxfield Kindergarten, 81 Anne Road,KNOXFIELD,3180,VIC,KNOX CITY
Koala Childcare & Early Learning Centre,160 Anderson Creek Road,DONCASTER EAST,3109,VIC,MANNINGHAM CITY
Koala Childcare and Early Learning Centre - Mt Waverley,11 Marianne Way,MOUNT WAVERLEY,3149,VIC,MONASH CITY
Koo Wee Rup Preschool,356 Rossiter Road,KOO WEE RUP,3981,VIC,CARDINIA SHIRE
Kookaburra Kindergarten - BUC,34 George Street,RESERVOIR,3073,VIC,DAREBIN CITY
Kool Kidz on Taylors,2 Bernard Hamilton Way,ROWVILLE,3178,VIC,KNOX CITY
Kool Kidz On Wellington,10 Gearon Avenue,ROWVILLE,3178,VIC,KNOX CITY
Koolyangarra Kindergarten, Church Street,BAYSWATER,3153,VIC,KNOX CITY
Koondrook Preschool,9 Punt Road,KOONDROOK,3580,VIC,GANNAWARRA SHIRE
Koori First Steps Preschool,44 Trudewind Road,WODONGA,3690,VIC,WODONGA RURAL CITY
Kororoit Creek Kindergarten,130 Tenterfield Drive,BURNSIDE HEIGHTS,3023,VIC,MELTON SHIRE
Korowa AGS Early Learning Centre for 3 and 4 Year Olds, Ranfurlie Crescent,GLEN IRIS,3146,VIC,STONNINGTON CITY
Korumburra Kindergarten,4 Victoria Street,KORUMBURRA,3950,VIC,SOUTH GIPPSLAND SHIRE
Kunawaa Childcare,50 Chapman Street,SWAN HILL,3585,VIC,SWAN HILL RURAL CITY
Kunyung Preschool,44 Barmah Street,MOUNT ELIZA,3930,VIC,MORNINGTON PENINSULA SHIRE
Kurboroo Kindergarten,75 Bemboka Road,WARRANWOOD,3134,VIC,MAROONDAH CITY
Kyabram Municipal Preschool, 148B Fenaughty Street,KYABRAM,3620,VIC,CAMPASPE SHIRE
La Trobe University Community Children's Centre,3086 Plenty Road,BUNDOORA,3083,VIC,DAREBIN CITY
Lady Brooks Kindergarten,5 Hutton Street,KYNETON,3444,VIC,MACEDON RANGES SHIRE
Lady Forster Kindergarten,63 B Ormond Esplanade,ELWOOD,3184,VIC,PORT PHILLIP CITY
Lady Gowrie Child Centre,36 Newry Street,CARLTON NORTH,3054,VIC,YARRA CITY
Lady Gowrie Child Centre (Melb) Inc,1 Seafarer Lane,DOCKLANDS,3008,VIC,MELBOURNE CITY
Lady Huntingfield Childrens Centre,87-93 Haines Street,NORTH MELBOURNE,3051,VIC,MELBOURNE CITY
Lady Nelson Early Learning and Child Care Centre,89 Lady Nelson Way,KEILOR DOWNS,3038,VIC,BRIMBANK CITY
Ladybug Early Learning Centre,469 Mt Dandenong Road,KILSYTH,3137,VIC,MAROONDAH CITY
Laharum Preschool,1574 North Grampians Road,LAHARUM,3401,VIC,HORSHAM RURAL CITY
Lake Boga Preschool, Lalbert Road,LAKE BOGA,3584,VIC,SWAN HILL RURAL CITY
Lake Bolac & District Kindergarten,1 Montgomery Street,LAKE BOLAC,3351,VIC,ARARAT RURAL CITY
Lake Park Kindergarten, 20a Carr Street,COBURG NORTH,3058,VIC,MORELAND CITY
Lake View Children's Centre, Lakeside Avenue,MOUNT BEAUTY,3699,VIC,ALPINE SHIRE
Lakes Entrance Kindergarten,49A Coates Road,LAKES ENTRANCE,3909,VIC,EAST GIPPSLAND SHIRE
Lakes Entrance Learning and Development Centre,45 Coates Road,LAKES ENTRANCE,3909,VIC,EAST GIPPSLAND SHIRE
Lakeside Children's Centre, 2 Olympic Way,PAKENHAM,3810,VIC,CARDINIA SHIRE
Lakeview Kindergarten & Childcare,24 Lakeview Drive,LILYDALE,3140,VIC,YARRA RANGES SHIRE
Lakewood Child Care & Kindergarten,35 Lakewood Drive,KNOXFIELD,3180,VIC,KNOX CITY
Lalor East Preschool,186 Darebin Drive,LALOR,3075,VIC,WHITTLESEA CITY
Lancaster & Frank Hartley House Child Care Centre,698-700 Malvern Road,PRAHRAN,3181,VIC,STONNINGTON CITY
Lancaster Preschool,31 Lancaster Road,MOOROOLBARK,3138,VIC,YARRA RANGES SHIRE
Lancefield Early Education Centre,2 Gwen Place,LANCEFIELD,3435,VIC,MACEDON RANGES SHIRE
Lancefield Kindergarten,16 Dunsford Street,LANCEFIELD,3435,VIC,MACEDON RANGES SHIRE
Lang Lang Preschool,3 Whitstable Street,LANG LANG,3984,VIC,CARDINIA SHIRE
Langwarrin Park Preschool,29 R Burgess Drive,LANGWARRIN,3910,VIC,FRANKSTON CITY
Langwarrin Preschool,6 Long Street,LANGWARRIN,3910,VIC,FRANKSTON CITY
Lara Kindergarten,5 Waverley Road,LARA,3212,VIC,GREATER GEELONG CITY
Lara Lake Community Preschool,25-31 Darcy Street,LARA,3212,VIC,GREATER GEELONG CITY
Larch St Kindergarten,16 Larch Street,BLACKBURN NORTH,3130,VIC,WHITEHORSE CITY
Launching Place Preschool, Mathers Avenue,LAUNCHING PLACE,3139,VIC,YARRA RANGES SHIRE
Laurimar Child Care and Early Learning,35 Flaxen Hills Road,DOREEN,3754,VIC,WHITTLESEA CITY
Laurimar Kindergarten,110 Hazelglen Drive,DOREEN,3754,VIC,WHITTLESEA CITY
Lauriston Kindergarten (1),1062-1070 Malvern Road,ARMADALE,3143,VIC,STONNINGTON CITY
Lavers Hill and District Preschool, Great Ocean Road,LAVERS HILL,3238,VIC,COLAC-OTWAY SHIRE
Laverton Community Children's Centre,15 Crown Street,LAVERTON,3028,VIC,HOBSONS BAY CITY
Learmonth Street Preschool,49 Learmonth Street,SUNBURY,3429,VIC,HUME CITY
Legend Park Kindergarten,56 King Arthur Drive,GLEN WAVERLEY,3150,VIC,MONASH CITY
Leitchville Preschool Play Centre,2 Kitchener Street,LEITCHVILLE,3567,VIC,GANNAWARRA SHIRE
Lemon Tree Children's Centre,2-10 Grattan Street,CARLTON,3053,VIC,MELBOURNE CITY
Len Jeffrey Memorial Kindergarten,102 Colby Drive,BELGRAVE SOUTH,3160,VIC,YARRA RANGES SHIRE
Leongatha Children's Centre,3 Symmons Street,LEONGATHA,3953,VIC,SOUTH GIPPSLAND SHIRE
Leopold Kindergarten & Children's Playgroup,29 Kanimbla Avenue,LEOPOLD,3224,VIC,GREATER GEELONG CITY
Leopold World of Learning,31-33 Melaluka Road,LEOPOLD,3224,VIC,GREATER GEELONG CITY
Lerderderg Children's Centre, Cnr Nelson & Albert Streets,DARLEY,3340,VIC,MOORABOOL SHIRE
Leslie Gribble Children's Centre,9-13 Westmorland Crescent,SHEPPARTON,3630,VIC,GREATER SHEPPARTON CITY
Leslie Moorhead Preschool Centre, Cromwell St,MORNINGTON,3931,VIC,MORNINGTON PENINSULA SHIRE
Less than 15 hours - Lighthouse Early Learning Centre,927-937 Springvale Road,KEYSBOROUGH,3173,VIC,GREATER DANDENONG CITY
Less than 15 hours - Neale Street North Preschool,7 Neale Street,BENDIGO,3550,VIC,GREATER BENDIGO CITY
Less than 15 hours - Neangar (Eaglehawk) Preschool, 25 Watson Avenue,CALIFORNIA GULLY,3556,VIC,GREATER BENDIGO CITY
Less than 15 hours - Pakenham Heights Kindergarten,3 Irving Road,PAKENHAM,3810,VIC,CARDINIA SHIRE
Less than 15 hours - Pakenham Kindergarten,27 Main Street,PAKENHAM,3810,VIC,CARDINIA SHIRE
Less than 15 hours - Pakenham Springs Children's Centre, Cnr Livingstone Boulevard and Heritage Boulevard,PAKENHAM,3810,VIC,CARDINIA SHIRE
Less than 15 Hours - Pentland Childcare & Kindergarten Centre,138-140 Halletts Way,BACCHUS MARSH,3340,VIC,MOORABOOL SHIRE
Less than 15 hours - Poets Grove Family and Children's Services Centre,18 Poets Grove,ELWOOD,3184,VIC,PORT PHILLIP CITY
Less than 15 hours - Point Cook Community Learning Centre Kindergarten, 1 - 21 Cheetham Street,POINT COOK,3030,VIC,WYNDHAM CITY
Less than 15 hours - Quantin Binnah Community Centre,61 Thames Boulevard,WERRIBEE,3030,VIC,WYNDHAM CITY
Less than 15 hours - Roberts Avenue Kindergarten,23 Roberts Avenue,HORSHAM,3400,VIC,HORSHAM RURAL CITY
Less than 15 hours - South Bendigo Kindergarten,23 Somerville Street,BENDIGO SOUTH,3550,VIC,GREATER BENDIGO CITY
Less than 15 hours - Spring Gully Kindergarten,131 Spring Gully Road,SPRING GULLY,3550,VIC,GREATER BENDIGO CITY
Less than 15 hours - Springside Kindergarten, Becca Way,CAROLINE SPRINGS,3023,VIC,MELTON SHIRE
Less than 15 hours - St Andrew's Kindergarten,1 Gipps Street,YARRAM,3971,VIC,WELLINGTON SHIRE
Less than 15 hours - St Kilda & Balaclava Kindergarten,23 Nelson Street,BALACLAVA,3183,VIC,PORT PHILLIP CITY
Less than 15 hours - St Kilda Steiner Pre-school,435 Inkerman Street,ST KILDA EAST,3183,VIC,GLEN EIRA CITY
Less than 15 hours - The Community Hub,11A Allambi Avenue,ROSEBUD,3939,VIC,MORNINGTON PENINSULA SHIRE
Less than 15 Hours - Trinity Grammar School Kindergarten,60 Wellington Street,KEW,3101,VIC,BOROONDARA CITY
Less than 15 hours - Waterfall Gully Preschool,325 Bayview Rd,ROSEBUD,3939,VIC,MORNINGTON PENINSULA SHIRE
Less than 15 hours - Westdale Kindergarten,99 Wallace Street,BAIRNSDALE,3875,VIC,EAST GIPPSLAND SHIRE
Less than 15 hours - White Hills Kindergarten,62 Raglan Street,WHITE HILLS,3550,VIC,GREATER BENDIGO CITY
Less than 15 hours - Whittlesea Preschool, 92 Church Street,WHITTLESEA,3757,VIC,WHITTLESEA CITY
Less than 15 hours - YMCA Craigieburn West Early Learning Centre and OSHC, Waterview Boulevard,CRAIGIEBURN,3064,VIC,HUME CITY
Less than 15 hours - YMCA Point Cook Early Learning Centre & YMCA Point Cook Outside School Hours Care, Cnr Tom Roberts Pde & Boardwalk Bvd,POINT COOK,3030,VIC,WYNDHAM CITY
Less than 15 hours - YMCA Taylors Hill Early Learning Centre & YMCA Taylors Hill Outside School Hours Care, 12 Park Lane,TAYLORS HILL,3037,VIC,MELTON SHIRE
"Less than 15 hours - YMCA Truganina South Early Learning Centre, YMCA Truganina South Outside School Hours Care", Federation Boulevard,TRUGANINA,3029,VIC,WYNDHAM CITY
Liberty Family Centre,77 Liberty Avenue,ROWVILLE,3178,VIC,KNOX CITY
Lightning Reef Early Learning Centre,74 Holmes Road,BENDIGO,3550,VIC,GREATER BENDIGO CITY
Lilian Cannam Kindergarten,97 Eastern Road,SOUTH MELBOURNE,3205,VIC,PORT PHILLIP CITY
Lilydale Little Feet Childcare & Kindergarten,18 Wilsons Lane,LILYDALE,3140,VIC,YARRA RANGES SHIRE
Lilydale North Preschool, Erldunda Court,LILYDALE,3140,VIC,YARRA RANGES SHIRE
Lilydale Preschool, Cnr Chapel St & Castella St,LILYDALE,3140,VIC,YARRA RANGES SHIRE
Lincolnville Preschool, Devon Avenue,KEILOR EAST,3033,VIC,MOONEE VALLEY CITY
Linda Brown Preschool,Lot 1 College Street,WENDOUREE,3355,VIC,BALLARAT CITY
Lindenow & District Kindergarten,152 Main Road,LINDENOW,3865,VIC,EAST GIPPSLAND SHIRE
Lions Hopkins Kindergarten,31 Gladstone Street,WARRNAMBOOL,3280,VIC,WARRNAMBOOL CITY
Lipscombe Park Kindergarten, Cnr Binbrook Dr & Sandgate Av,CROYDON,3136,VIC,MAROONDAH CITY
Lismore Preschool,57 William Street,LISMORE,3324,VIC,CORANGAMITE SHIRE
Little Acorns Childcare,231 Frankston-Flinders Road,FRANKSTON,3199,VIC,FRANKSTON CITY
Little Alberts Childcare Centre,166 Albert Avenue,BORONIA,3155,VIC,KNOX CITY
Little Assets - Melbourne City Early Learning Centre, Siddeley Street,MELBOURNE,3004,VIC,MELBOURNE CITY
Little Babe's Early Learning Centre,42 Kings Road,ST ALBANS,3021,VIC,BRIMBANK CITY
Little Beacons Learning Centre,30-34 Toomuc Valley Road,PAKENHAM,3810,VIC,CARDINIA SHIRE
Little Beginnings Early Learning Centre,574  Springvale Road,SPRINGVALE SOUTH,3172,VIC,GREATER DANDENONG CITY
Little Blossoms Child Care Centre,80 - 88 Ballan Road,WERRIBEE,3030,VIC,WYNDHAM CITY
Little Champs,97A - 101 Hargreaves Crescent,BRAYBROOK,3019,VIC,MARIBYRNONG CITY
Little Grasshoppers,309-311 Main Street,MORNINGTON,3931,VIC,MORNINGTON PENINSULA SHIRE
Little Grasshoppers,15 Parwan Crescent,MORNINGTON,3931,VIC,MORNINGTON PENINSULA SHIRE
Little Grasshoppers - Eramosa,70 Eramosa Road West,SOMERVILLE,3912,VIC,MORNINGTON PENINSULA SHIRE
Little Jazzys Child Care and Kindergarten,632 Mountain Highway,BAYSWATER,3153,VIC,KNOX CITY
Little Joey's Early Learning,4 Dorning Road,NARRE WARREN EAST,3804,VIC,YARRA RANGES SHIRE
Little Learner's Early Education,205 Gordons Road,SOUTH MORANG,3752,VIC,WHITTLESEA CITY
Little Learners ELC-Camberwell,675 Burke Road,CAMBERWELL,3124,VIC,BOROONDARA CITY
Little Munchkins Child Care Centre,6 Gourlay Road,HILLSIDE,3037,VIC,MELTON SHIRE
Little Paddington Child Care Centre and Kindergarten,412 Waverley Road,MALVERN EAST,3145,VIC,STONNINGTON CITY
Little Poppets Childcare, Cnr Trickey Av & Pecks Rd,SYDENHAM,3037,VIC,BRIMBANK CITY
Little Possums on Wattletree,81 Wattletree Road,MALVERN,3144,VIC,STONNINGTON CITY
Little Raskals Kindergarten & Child Care Centre,94 Springvale Road,NUNAWADING,3131,VIC,WHITEHORSE CITY
Little River Kindergarten, River Street,LITTLE RIVER,3211,VIC,WYNDHAM CITY
Little Saints Early Learning Centre,37 Princes Highway,PAKENHAM,3810,VIC,CARDINIA SHIRE
Little Saints Early Learning Centre - Moe,152 Narracan Drive,MOE,3825,VIC,LATROBE CITY
Little Scooters,1560 Main Road,RESEARCH,3095,VIC,NILLUMBIK SHIRE
Little Sophia Inc,35 Abbotsford Street,ABBOTSFORD,3067,VIC,YARRA CITY
Little St Margarets,29 Mayfield Avenue,MALVERN,3144,VIC,STONNINGTON CITY
Little Stars at Bourke Children's Centre,500 Bourke Street,MELBOURNE,3000,VIC,MELBOURNE CITY
Little Stars at Southern Cross," Level 3, 700 Bourke Street",DOCKLANDS,3008,VIC,MELBOURNE CITY
Little Starters Early Learning Centre,50 Brunnings Road,CARRUM DOWNS,3201,VIC,FRANKSTON CITY
Little Starters Early Learning Centre - Epping,20 Kalman Road,EPPING,3076,VIC,WHITTLESEA CITY
Little Tackers Early Learning Centre,34 Ellen McDonald Drive,BARANDUDA,3691,VIC,WODONGA RURAL CITY
Little Yarra Steiner Kindergarten,205 Little Yarra Road,YARRA JUNCTION,3797,VIC,YARRA RANGES SHIRE
Littlecroft Kindergarten,51 The Strand,NARRE WARREN,3805,VIC,CASEY CITY
Littleones Child Care Centre,2 Gibb Street,BERWICK,3806,VIC,CASEY CITY
Livingston Kindergarten, 1 Livingston Street,HIGHETT,3190,VIC,BAYSIDE CITY
Loch & District Preschool Centre,18 Smith Street,LOCH,3945,VIC,SOUTH GIPPSLAND SHIRE
Lockington Kindergarten,8 Burns Street,LOCKINGTON,3563,VIC,CAMPASPE SHIRE
Long Island Early Learning Centre,18  Overton Road,FRANKSTON,3199,VIC,FRANKSTON CITY
Longford Kindergarten,6-8 High Street,LONGFORD,3851,VIC,WELLINGTON SHIRE
Longwarry Kindergarten,4 Ford Place,LONGWARRY,3816,VIC,BAW BAW SHIRE
Lonsdale House Childcare,2 Old Geelong Road,POINT LONSDALE,3225,VIC,QUEENSCLIFFE BOROUGH
Lorne Kindergarten, Smith Street,LORNE,3232,VIC,SURF COAST SHIRE
Love Kids Early Learning Centre - Chadstone, 327-333 Huntingdale Road,CHADSTONE,3148,VIC,MONASH CITY
Love Kids Early Learning Centre - Mulgrave, 52-56 Wanda Street,MULGRAVE,3170,VIC,MONASH CITY
Lower Plenty Kindergarten,34 Glenauburn Rd,LOWER PLENTY,3093,VIC,BANYULE CITY
Lower Templestowe Preschool,107 Swanston Street,TEMPLESTOWE LOWER,3107,VIC,MANNINGHAM CITY
Lowther Hall Anglican Grammar School Kindergarten,17 Leslie Road,ESSENDON,3040,VIC,MOONEE VALLEY CITY
Lucknow Street Children's Services Centre,37 Lucknow Street,NUNAWADING,3131,VIC,WHITEHORSE CITY
Lulla's Children and Family Centre,44 Edward Street,SHEPPARTON,3630,VIC,GREATER SHEPPARTON CITY
Lynbrook Kindergarten,25i River Redgum Place,LYNBROOK,3975,VIC,CASEY CITY
Macarthur Kindergarten,21 Heckfield Street,MACARTHUR,3286,VIC,MOYNE SHIRE
Macedon Ranges Montessori Preschool,61 Main Road,RIDDELLS CREEK,3431,VIC,MACEDON RANGES SHIRE
Macleod Preschool Incorporated,5 Birdwood Avenue,MACLEOD,3085,VIC,BANYULE CITY
Maffra Queen Street Kindergarten & Occasional Care,21 Queen Street,MAFFRA,3860,VIC,WELLINGTON SHIRE
Mahogany Kindergarten,35 Hoddle Street,WARRNAMBOOL,3280,VIC,WARRNAMBOOL CITY
Mahogany Rise Child and Family Centre, Jenkins Street,FRANKSTON NORTH,3200,VIC,FRANKSTON CITY
Malcolm Creek Children's Centre, Grand Boulevard,CRAIGIEBURN,3064,VIC,HUME CITY
Maldon Preschool Centre,14 - 16 Camp Street,MALDON,3463,VIC,MOUNT ALEXANDER SHIRE
Malin Friends Nursery and Kindergarten,305 Barkers Road,KEW,3101,VIC,BOROONDARA CITY
Mallacoota Kindergarten,23 Greer Street,MALLACOOTA,3892,VIC,EAST GIPPSLAND SHIRE
Mallee Minors Child Care Centre - Murrayville, Cnr Francis St & Gray St,MURRAYVILLE,3512,VIC,MILDURA RURAL CITY
Mallee Minors Child Care Centre - Underbool,43 Cotter Street,UNDERBOOL,3509,VIC,MILDURA RURAL CITY
Malvern Early Learning and Child Care Centre,9 Llaneast Street,ARMADALE,3143,VIC,STONNINGTON CITY
Malvern Memorial Kindergarten,15 Orchard Street,ARMADALE,3143,VIC,STONNINGTON CITY
Manangatang & District Preschool, Sea Lake Road,MANANGATANG,3546,VIC,SWAN HILL RURAL CITY
Manchester Preschool,132 Manchester Road,MOOROOLBARK,3138,VIC,YARRA RANGES SHIRE
Manchester Road Early Learning Centre,14 Manchester Road,MOOROOLBARK,3138,VIC,YARRA RANGES SHIRE
Mansfield Kindergarten,64 Ailsa Street,MANSFIELD,3722,VIC,MANSFIELD SHIRE
Mansfield Rudolf Steiner School & Kindergarten,91 Highett Street,MANSFIELD,3722,VIC,MANSFIELD SHIRE
Mansfield Street Kindergarten,11 Mansfield Street,BERWICK,3806,VIC,CASEY CITY
Maple Street Early Learning,195 Whitehorse Road,BLACKBURN,3130,VIC,WHITEHORSE CITY
Maramba Kindergarten,2-8 Josephine Avenue,NARRE WARREN,3805,VIC,CASEY CITY
Maranatha Early Learning Centre - Cardinia,62 RIX ROAD,OFFICER,3809,VIC,CARDINIA SHIRE
Maranatha Early Learning Centre - Casey,123-127 KIDDS ROAD,DOVETON,3177,VIC,CASEY CITY
